evaluation_id,question,category,policy_id,expected_answer,difficulty,question_type
235,Could you give me more information about refund processing time?,Refunds,REF001,Refunds are processed within 5 to 7 business days after the return is approved.,Hard,Conversational
236,What should I know about order cancellation?,Orders,ORD001,Orders can be cancelled before they are dispatched.,Easy,Conversational
237,What should I know about return window?,Returns,RET001,Items can be returned within 30 days of delivery.,Easy,Conversational
238,How does the contact support policy work?,Customer Support,SUP001,Customers can contact support through the customer support form for assistance with their account or orders.,Medium,Paraphrased
239,I have a question about express delivery. What is the policy?,Shipping,SHP002,Express delivery usually takes 1 to 2 business days after dispatch.,Medium,Policy-focused
240,What should I know about product availability?,Products,PRO001,Product availability is shown on the product page and may change depending on inventory levels.,Easy,Conversational
241,I need help with damaged items. What does the policy say?,Returns,RET003,Customers should contact support promptly if an item arrives damaged.,Easy,Policy-focused
242,How does the subscription cancellation policy work?,Subscriptions,SUB001,Customers can cancel their subscription through their account settings before the next billing date.,Medium,Paraphrased
243,How does the return window policy work?,Returns,RET001,Items can be returned within 30 days of delivery.,Medium,Paraphrased
244,Can you tell me what the company policy says about refund processing time?,Refunds,REF001,Refunds are processed within 5 to 7 business days after the return is approved.,Medium,Policy-focused
245,How does the company handle account closure?,Account,ACC003,Customers can request account closure through customer support.,Hard,Policy-focused
246,What is the policy for subscription renewal?,Subscriptions,SUB002,Subscriptions automatically renew on the scheduled billing date unless cancelled beforehand.,Easy,Direct
247,Please explain the company's discount restrictions policy.,Discounts,DIS002,Promotional discounts may have specific terms and conditions that should be checked before use.,Hard,Paraphrased
248,How does the product information policy work?,Products,PRO002,Customers can find product specifications and dimensions on the relevant product page.,Medium,Paraphrased
249,What information do you have about return window?,Returns,RET001,Items can be returned within 30 days of delivery.,Medium,Conversational
250,What is the policy for international tracking?,International Orders,INT002,International orders can be tracked using the tracking information provided after dispatch.,Easy,Direct
251,Can you tell me what the company policy says about express delivery?,Shipping,SHP002,Express delivery usually takes 1 to 2 business days after dispatch.,Medium,Policy-focused
252,Can you tell me what the company policy says about order modification?,Orders,ORD002,Order details cannot normally be changed after an order has been placed. Customers should contact support as soon as possible if a correction is required.,Medium,Policy-focused
253,What information do you have about order status?,Orders,ORD003,Customers can check their order status using the order tracking link provided after dispatch.,Medium,Conversational
254,I have a question about refund processing time. What is the policy?,Refunds,REF001,Refunds are processed within 5 to 7 business days after the return is approved.,Medium,Policy-focused
255,What should I know about damaged items?,Returns,RET003,Customers should contact support promptly if an item arrives damaged.,Easy,Conversational
256,I need help with payment failure. What does the policy say?,Payments,PAY002,"If a payment fails, customers should check their payment details and try the transaction again.",Easy,Policy-focused
257,What information do you have about password reset?,Account,ACC001,Customers can reset their password by selecting 'Forgot password' on the login page and following the instructions sent to their email.,Medium,Conversational
258,How does the warranty period policy work?,Warranty,WAR001,Products are covered by a 12-month warranty from the date of purchase.,Medium,Paraphrased
259,What are the rules regarding product information?,Products,PRO002,Customers can find product specifications and dimensions on the relevant product page.,Medium,Direct
260,Could you tell me about product compatibility?,Products,PRO003,Customers should check the compatibility information provided on the product page before purchasing.,Easy,Policy-focused
261,Could you tell me about discount restrictions?,Discounts,DIS002,Promotional discounts may have specific terms and conditions that should be checked before use.,Easy,Policy-focused
262,I have a question about subscription renewal. What is the policy?,Subscriptions,SUB002,Subscriptions automatically renew on the scheduled billing date unless cancelled beforehand.,Medium,Policy-focused
263,What should I know about contact support?,Customer Support,SUP001,Customers can contact support through the customer support form for assistance with their account or orders.,Easy,Conversational
264,What is the policy for complaints?,Customer Support,SUP002,Customers can submit complaints through the customer support form.,Easy,Direct
265,What are the rules regarding damaged items?,Returns,RET003,Customers should contact support promptly if an item arrives damaged.,Medium,Direct
266,What should I know about product information?,Products,PRO002,Customers can find product specifications and dimensions on the relevant product page.,Easy,Conversational
267,What are the requirements for email address change?,Account,ACC002,Customers can request an email address change through customer support after verifying their account.,Hard,Policy-focused
268,I have a question about complaints. What is the policy?,Customer Support,SUP002,Customers can submit complaints through the customer support form.,Medium,Policy-focused
269,I have a question about email address change. What is the policy?,Account,ACC002,Customers can request an email address change through customer support after verifying their account.,Medium,Policy-focused
270,I have a question about damaged items. What is the policy?,Returns,RET003,Customers should contact support promptly if an item arrives damaged.,Medium,Policy-focused
271,Please explain the company's complaints policy.,Customer Support,SUP002,Customers can submit complaints through the customer support form.,Hard,Paraphrased
272,Could you tell me about product availability?,Products,PRO001,Product availability is shown on the product page and may change depending on inventory levels.,Easy,Policy-focused
273,I have a question about international delivery. What is the policy?,International Orders,INT001,International delivery times vary depending on the destination and shipping service selected.,Medium,Policy-focused
274,What are the requirements for complaints?,Customer Support,SUP002,Customers can submit complaints through the customer support form.,Hard,Policy-focused
275,Please explain the company's international delivery policy.,International Orders,INT001,International delivery times vary depending on the destination and shipping service selected.,Hard,Paraphrased
276,Can you tell me what the company policy says about discount restrictions?,Discounts,DIS002,Promotional discounts may have specific terms and conditions that should be checked before use.,Medium,Policy-focused
277,Can you explain the contact support policy?,Customer Support,SUP001,Customers can contact support through the customer support form for assistance with their account or orders.,Easy,Paraphrased
278,Could you tell me about subscription cancellation?,Subscriptions,SUB001,Customers can cancel their subscription through their account settings before the next billing date.,Easy,Policy-focused
279,I have a question about promo codes. What is the policy?,Discounts,DIS001,Valid promotional codes can be entered during checkout before the order is completed.,Medium,Policy-focused
280,What information do you have about original packaging?,Returns,RET002,Items should normally be returned in their original packaging to be eligible for a return.,Medium,Conversational
281,How does the company handle accepted payment methods?,Payments,PAY001,"We accept Visa, Mastercard, American Express and PayPal.",Hard,Policy-focused
282,What information do you have about subscription renewal?,Subscriptions,SUB002,Subscriptions automatically renew on the scheduled billing date unless cancelled beforehand.,Medium,Conversational
283,Can you tell me what the company policy says about promo codes?,Discounts,DIS001,Valid promotional codes can be entered during checkout before the order is completed.,Medium,Policy-focused
284,How does the company handle product compatibility?,Products,PRO003,Customers should check the compatibility information provided on the product page before purchasing.,Hard,Policy-focused
285,What information do you have about international tracking?,International Orders,INT002,International orders can be tracked using the tracking information provided after dispatch.,Medium,Conversational
286,Could you give me more information about discount restrictions?,Discounts,DIS002,Promotional discounts may have specific terms and conditions that should be checked before use.,Hard,Conversational
287,Can you tell me what the company policy says about account closure?,Account,ACC003,Customers can request account closure through customer support.,Medium,Policy-focused
288,Please explain the company's product information policy.,Products,PRO002,Customers can find product specifications and dimensions on the relevant product page.,Hard,Paraphrased
289,How does the company handle refund payment method?,Refunds,REF002,Refunds are normally returned to the original payment method used for the purchase.,Hard,Policy-focused
290,Can you explain the refund processing time policy?,Refunds,REF001,Refunds are processed within 5 to 7 business days after the return is approved.,Easy,Paraphrased
291,What should I know about password reset?,Account,ACC001,Customers can reset their password by selecting 'Forgot password' on the login page and following the instructions sent to their email.,Easy,Conversational
292,I need help with warranty claims. What does the policy say?,Warranty,WAR002,Warranty claims can be submitted through customer support with proof of purchase.,Easy,Policy-focused
293,What information do you have about account closure?,Account,ACC003,Customers can request account closure through customer support.,Medium,Conversational
294,What do I need to know regarding original packaging?,Returns,RET002,Items should normally be returned in their original packaging to be eligible for a return.,Medium,Direct
295,What is the policy for damaged items?,Returns,RET003,Customers should contact support promptly if an item arrives damaged.,Easy,Direct
296,What should I know about discount restrictions?,Discounts,DIS002,Promotional discounts may have specific terms and conditions that should be checked before use.,Easy,Conversational
297,How does the company handle email address change?,Account,ACC002,Customers can request an email address change through customer support after verifying their account.,Hard,Policy-focused
298,I have a question about contact support. What is the policy?,Customer Support,SUP001,Customers can contact support through the customer support form for assistance with their account or orders.,Medium,Policy-focused
299,How does the promo codes policy work?,Discounts,DIS001,Valid promotional codes can be entered during checkout before the order is completed.,Medium,Paraphrased
300,What information do you have about damaged items?,Returns,RET003,Customers should contact support promptly if an item arrives damaged.,Medium,Conversational
301,What is the policy for product information?,Products,PRO002,Customers can find product specifications and dimensions on the relevant product page.,Easy,Direct
302,I need help with complaints. What does the policy say?,Customer Support,SUP002,Customers can submit complaints through the customer support form.,Easy,Policy-focused
303,What should I know about original packaging?,Returns,RET002,Items should normally be returned in their original packaging to be eligible for a return.,Easy,Conversational
304,Can you tell me what the company policy says about subscription cancellation?,Subscriptions,SUB001,Customers can cancel their subscription through their account settings before the next billing date.,Medium,Policy-focused
305,What do I need to know regarding product compatibility?,Products,PRO003,Customers should check the compatibility information provided on the product page before purchasing.,Medium,Direct
306,What are the requirements for damaged items?,Returns,RET003,Customers should contact support promptly if an item arrives damaged.,Hard,Policy-focused
307,Can you explain the subscription cancellation policy?,Subscriptions,SUB001,Customers can cancel their subscription through their account settings before the next billing date.,Easy,Paraphrased
308,How does the company handle order status?,Orders,ORD003,Customers can check their order status using the order tracking link provided after dispatch.,Hard,Policy-focused
309,What should I know about international delivery?,International Orders,INT001,International delivery times vary depending on the destination and shipping service selected.,Easy,Conversational
310,What are the rules regarding express delivery?,Shipping,SHP002,Express delivery usually takes 1 to 2 business days after dispatch.,Medium,Direct
311,What are the requirements for product availability?,Products,PRO001,Product availability is shown on the product page and may change depending on inventory levels.,Hard,Policy-focused
312,What do I need to know regarding order tracking?,Shipping,SHP003,Orders can be tracked using the tracking link sent to the customer's email after dispatch.,Medium,Direct
313,What should I know about warranty period?,Warranty,WAR001,Products are covered by a 12-month warranty from the date of purchase.,Easy,Conversational
314,How does the payment failure policy work?,Payments,PAY002,"If a payment fails, customers should check their payment details and try the transaction again.",Medium,Paraphrased
315,I have a question about refund payment method. What is the policy?,Refunds,REF002,Refunds are normally returned to the original payment method used for the purchase.,Medium,Policy-focused
316,Could you give me more information about order cancellation?,Orders,ORD001,Orders can be cancelled before they are dispatched.,Hard,Conversational
317,What are the rules regarding order status?,Orders,ORD003,Customers can check their order status using the order tracking link provided after dispatch.,Medium,Direct
318,What are the requirements for order modification?,Orders,ORD002,Order details cannot normally be changed after an order has been placed. Customers should contact support as soon as possible if a correction is required.,Hard,Policy-focused
319,What are the rules regarding accepted payment methods?,Payments,PAY001,"We accept Visa, Mastercard, American Express and PayPal.",Medium,Direct
320,What information do you have about refund processing time?,Refunds,REF001,Refunds are processed within 5 to 7 business days after the return is approved.,Medium,Conversational
321,What are the rules regarding contact support?,Customer Support,SUP001,Customers can contact support through the customer support form for assistance with their account or orders.,Medium,Direct
322,I need help with contact support. What does the policy say?,Customer Support,SUP001,Customers can contact support through the customer support form for assistance with their account or orders.,Easy,Policy-focused
323,Please explain the company's email address change policy.,Account,ACC002,Customers can request an email address change through customer support after verifying their account.,Hard,Paraphrased
324,What are the rules regarding return window?,Returns,RET001,Items can be returned within 30 days of delivery.,Medium,Direct
325,How does the standard delivery policy work?,Shipping,SHP001,Standard delivery usually takes 3 to 5 business days.,Medium,Paraphrased
326,What is the policy for warranty period?,Warranty,WAR001,Products are covered by a 12-month warranty from the date of purchase.,Easy,Direct
327,What do I need to know regarding subscription cancellation?,Subscriptions,SUB001,Customers can cancel their subscription through their account settings before the next billing date.,Medium,Direct
328,Can you explain the subscription renewal policy?,Subscriptions,SUB002,Subscriptions automatically renew on the scheduled billing date unless cancelled beforehand.,Easy,Paraphrased
329,What are the requirements for accepted payment methods?,Payments,PAY001,"We accept Visa, Mastercard, American Express and PayPal.",Hard,Policy-focused
330,Please explain the company's order status policy.,Orders,ORD003,Customers can check their order status using the order tracking link provided after dispatch.,Hard,Paraphrased
331,What do I need to know regarding subscription renewal?,Subscriptions,SUB002,Subscriptions automatically renew on the scheduled billing date unless cancelled beforehand.,Medium,Direct
332,Please explain the company's password reset policy.,Account,ACC001,Customers can reset their password by selecting 'Forgot password' on the login page and following the instructions sent to their email.,Hard,Paraphrased
333,Could you give me more information about product availability?,Products,PRO001,Product availability is shown on the product page and may change depending on inventory levels.,Hard,Conversational
334,How does the company handle warranty period?,Warranty,WAR001,Products are covered by a 12-month warranty from the date of purchase.,Hard,Policy-focused
335,Could you tell me about complaints?,Customer Support,SUP002,Customers can submit complaints through the customer support form.,Easy,Policy-focused
336,Could you tell me about order cancellation?,Orders,ORD001,Orders can be cancelled before they are dispatched.,Easy,Policy-focused
337,Can you explain the warranty claims policy?,Warranty,WAR002,Warranty claims can be submitted through customer support with proof of purchase.,Easy,Paraphrased
338,What information do you have about invoice requests?,Invoices,INV002,Customers can contact support if they require assistance locating an invoice.,Medium,Conversational
339,What do I need to know regarding return window?,Returns,RET001,Items can be returned within 30 days of delivery.,Medium,Direct
340,Can you explain the account closure policy?,Account,ACC003,Customers can request account closure through customer support.,Easy,Paraphrased
341,What should I know about invoice availability?,Invoices,INV001,Invoices are available through the customer's account after an order has been completed.,Easy,Conversational
342,I need help with email address change. What does the policy say?,Account,ACC002,Customers can request an email address change through customer support after verifying their account.,Easy,Policy-focused
343,How does the accepted payment methods policy work?,Payments,PAY001,"We accept Visa, Mastercard, American Express and PayPal.",Medium,Paraphrased
344,Can you tell me what the company policy says about return window?,Returns,RET001,Items can be returned within 30 days of delivery.,Medium,Policy-focused
345,What information do you have about product information?,Products,PRO002,Customers can find product specifications and dimensions on the relevant product page.,Medium,Conversational
346,What are the rules regarding email address change?,Account,ACC002,Customers can request an email address change through customer support after verifying their account.,Medium,Direct
347,Can you explain the express delivery policy?,Shipping,SHP002,Express delivery usually takes 1 to 2 business days after dispatch.,Easy,Paraphrased
348,What should I know about standard delivery?,Shipping,SHP001,Standard delivery usually takes 3 to 5 business days.,Easy,Conversational
349,What should I know about order status?,Orders,ORD003,Customers can check their order status using the order tracking link provided after dispatch.,Easy,Conversational
350,Could you give me more information about warranty claims?,Warranty,WAR002,Warranty claims can be submitted through customer support with proof of purchase.,Hard,Conversational
351,Could you give me more information about promo codes?,Discounts,DIS001,Valid promotional codes can be entered during checkout before the order is completed.,Hard,Conversational
352,What are the rules regarding password reset?,Account,ACC001,Customers can reset their password by selecting 'Forgot password' on the login page and following the instructions sent to their email.,Medium,Direct
353,What are the rules regarding invoice requests?,Invoices,INV002,Customers can contact support if they require assistance locating an invoice.,Medium,Direct
354,Could you give me more information about order modification?,Orders,ORD002,Order details cannot normally be changed after an order has been placed. Customers should contact support as soon as possible if a correction is required.,Hard,Conversational
355,What do I need to know regarding international tracking?,International Orders,INT002,International orders can be tracked using the tracking information provided after dispatch.,Medium,Direct
356,What are the rules regarding account closure?,Account,ACC003,Customers can request account closure through customer support.,Medium,Direct
357,What are the rules regarding warranty claims?,Warranty,WAR002,Warranty claims can be submitted through customer support with proof of purchase.,Medium,Direct
358,I need help with product information. What does the policy say?,Products,PRO002,Customers can find product specifications and dimensions on the relevant product page.,Easy,Policy-focused
359,Could you give me more information about refund payment method?,Refunds,REF002,Refunds are normally returned to the original payment method used for the purchase.,Hard,Conversational
360,What is the policy for invoice availability?,Invoices,INV001,Invoices are available through the customer's account after an order has been completed.,Easy,Direct
361,I need help with refund processing time. What does the policy say?,Refunds,REF001,Refunds are processed within 5 to 7 business days after the return is approved.,Easy,Policy-focused
362,What should I know about express delivery?,Shipping,SHP002,Express delivery usually takes 1 to 2 business days after dispatch.,Easy,Conversational
363,What is the policy for refund processing time?,Refunds,REF001,Refunds are processed within 5 to 7 business days after the return is approved.,Easy,Direct
364,Can you tell me what the company policy says about damaged items?,Returns,RET003,Customers should contact support promptly if an item arrives damaged.,Medium,Policy-focused
365,What should I know about international tracking?,International Orders,INT002,International orders can be tracked using the tracking information provided after dispatch.,Easy,Conversational
366,Can you tell me what the company policy says about order cancellation?,Orders,ORD001,Orders can be cancelled before they are dispatched.,Medium,Policy-focused
367,Please explain the company's promo codes policy.,Discounts,DIS001,Valid promotional codes can be entered during checkout before the order is completed.,Hard,Paraphrased
368,What are the rules regarding international delivery?,International Orders,INT001,International delivery times vary depending on the destination and shipping service selected.,Medium,Direct
369,Could you tell me about express delivery?,Shipping,SHP002,Express delivery usually takes 1 to 2 business days after dispatch.,Easy,Policy-focused
370,What is the policy for product compatibility?,Products,PRO003,Customers should check the compatibility information provided on the product page before purchasing.,Easy,Direct
371,How does the company handle order cancellation?,Orders,ORD001,Orders can be cancelled before they are dispatched.,Hard,Policy-focused
372,How does the refund payment method policy work?,Refunds,REF002,Refunds are normally returned to the original payment method used for the purchase.,Medium,Paraphrased
373,What do I need to know regarding order status?,Orders,ORD003,Customers can check their order status using the order tracking link provided after dispatch.,Medium,Direct
374,Can you explain the international delivery policy?,International Orders,INT001,International delivery times vary depending on the destination and shipping service selected.,Easy,Paraphrased
375,What information do you have about invoice availability?,Invoices,INV001,Invoices are available through the customer's account after an order has been completed.,Medium,Conversational
376,How does the email address change policy work?,Account,ACC002,Customers can request an email address change through customer support after verifying their account.,Medium,Paraphrased
377,I have a question about product availability. What is the policy?,Products,PRO001,Product availability is shown on the product page and may change depending on inventory levels.,Medium,Policy-focused
378,Can you explain the international tracking policy?,International Orders,INT002,International orders can be tracked using the tracking information provided after dispatch.,Easy,Paraphrased
379,Could you tell me about invoice availability?,Invoices,INV001,Invoices are available through the customer's account after an order has been completed.,Easy,Policy-focused
380,What information do you have about discount restrictions?,Discounts,DIS002,Promotional discounts may have specific terms and conditions that should be checked before use.,Medium,Conversational
381,Please explain the company's account closure policy.,Account,ACC003,Customers can request account closure through customer support.,Hard,Paraphrased
382,Could you give me more information about password reset?,Account,ACC001,Customers can reset their password by selecting 'Forgot password' on the login page and following the instructions sent to their email.,Hard,Conversational
383,What should I know about email address change?,Account,ACC002,Customers can request an email address change through customer support after verifying their account.,Easy,Conversational
384,What do I need to know regarding product information?,Products,PRO002,Customers can find product specifications and dimensions on the relevant product page.,Medium,Direct
385,How does the company handle invoice requests?,Invoices,INV002,Customers can contact support if they require assistance locating an invoice.,Hard,Policy-focused
386,Please explain the company's warranty period policy.,Warranty,WAR001,Products are covered by a 12-month warranty from the date of purchase.,Hard,Paraphrased
387,How does the company handle international tracking?,International Orders,INT002,International orders can be tracked using the tracking information provided after dispatch.,Hard,Policy-focused
388,Do you offer same-day delivery?,Unsupported,,The available company policy does not contain enough information to answer this question.,Hard,Unsupported
389,I need help with product compatibility. What does the policy say?,Products,PRO003,Customers should check the compatibility information provided on the product page before purchasing.,Easy,Policy-focused
390,What are the rules regarding subscription cancellation?,Subscriptions,SUB001,Customers can cancel their subscription through their account settings before the next billing date.,Medium,Direct
391,How does the company handle warranty claims?,Warranty,WAR002,Warranty claims can be submitted through customer support with proof of purchase.,Hard,Policy-focused
392,How does the password reset policy work?,Account,ACC001,Customers can reset their password by selecting 'Forgot password' on the login page and following the instructions sent to their email.,Medium,Paraphrased
393,Please explain the company's refund payment method policy.,Refunds,REF002,Refunds are normally returned to the original payment method used for the purchase.,Hard,Paraphrased
394,What are the requirements for order status?,Orders,ORD003,Customers can check their order status using the order tracking link provided after dispatch.,Hard,Policy-focused
395,What information do you have about email address change?,Account,ACC002,Customers can request an email address change through customer support after verifying their account.,Medium,Conversational
396,What do I need to know regarding payment failure?,Payments,PAY002,"If a payment fails, customers should check their payment details and try the transaction again.",Medium,Direct
397,I have a question about product compatibility. What is the policy?,Products,PRO003,Customers should check the compatibility information provided on the product page before purchasing.,Medium,Policy-focused
398,Could you tell me about warranty claims?,Warranty,WAR002,Warranty claims can be submitted through customer support with proof of purchase.,Easy,Policy-focused
399,What is the policy for original packaging?,Returns,RET002,Items should normally be returned in their original packaging to be eligible for a return.,Easy,Direct
400,Can you tell me what the company policy says about standard delivery?,Shipping,SHP001,Standard delivery usually takes 3 to 5 business days.,Medium,Policy-focused
401,How does the company handle contact support?,Customer Support,SUP001,Customers can contact support through the customer support form for assistance with their account or orders.,Hard,Policy-focused
402,Can you explain the order cancellation policy?,Orders,ORD001,Orders can be cancelled before they are dispatched.,Easy,Paraphrased
403,What is the policy for invoice requests?,Invoices,INV002,Customers can contact support if they require assistance locating an invoice.,Easy,Direct
404,Could you give me more information about international tracking?,International Orders,INT002,International orders can be tracked using the tracking information provided after dispatch.,Hard,Conversational
405,Could you tell me about standard delivery?,Shipping,SHP001,Standard delivery usually takes 3 to 5 business days.,Easy,Policy-focused
406,What are the rules regarding order tracking?,Shipping,SHP003,Orders can be tracked using the tracking link sent to the customer's email after dispatch.,Medium,Direct
407,What do I need to know regarding password reset?,Account,ACC001,Customers can reset their password by selecting 'Forgot password' on the login page and following the instructions sent to their email.,Medium,Direct
408,Could you tell me about order status?,Orders,ORD003,Customers can check their order status using the order tracking link provided after dispatch.,Easy,Policy-focused
409,Can you tell me what the company policy says about warranty claims?,Warranty,WAR002,Warranty claims can be submitted through customer support with proof of purchase.,Medium,Policy-focused
410,How does the subscription renewal policy work?,Subscriptions,SUB002,Subscriptions automatically renew on the scheduled billing date unless cancelled beforehand.,Medium,Paraphrased
411,Can you explain the return window policy?,Returns,RET001,Items can be returned within 30 days of delivery.,Easy,Paraphrased
412,I have a question about discount restrictions. What is the policy?,Discounts,DIS002,Promotional discounts may have specific terms and conditions that should be checked before use.,Medium,Policy-focused
413,How does the company handle international delivery?,International Orders,INT001,International delivery times vary depending on the destination and shipping service selected.,Hard,Policy-focused
414,What information do you have about standard delivery?,Shipping,SHP001,Standard delivery usually takes 3 to 5 business days.,Medium,Conversational
415,What is the policy for subscription cancellation?,Subscriptions,SUB001,Customers can cancel their subscription through their account settings before the next billing date.,Easy,Direct
416,I have a question about warranty claims. What is the policy?,Warranty,WAR002,Warranty claims can be submitted through customer support with proof of purchase.,Medium,Policy-focused
417,Can you explain the warranty period policy?,Warranty,WAR001,Products are covered by a 12-month warranty from the date of purchase.,Easy,Paraphrased
418,What are the requirements for order cancellation?,Orders,ORD001,Orders can be cancelled before they are dispatched.,Hard,Policy-focused
419,What is the policy for promo codes?,Discounts,DIS001,Valid promotional codes can be entered during checkout before the order is completed.,Easy,Direct
420,What are the requirements for order tracking?,Shipping,SHP003,Orders can be tracked using the tracking link sent to the customer's email after dispatch.,Hard,Policy-focused
421,Could you give me more information about contact support?,Customer Support,SUP001,Customers can contact support through the customer support form for assistance with their account or orders.,Hard,Conversational
422,I need help with product availability. What does the policy say?,Products,PRO001,Product availability is shown on the product page and may change depending on inventory levels.,Easy,Policy-focused
423,Can you explain the accepted payment methods policy?,Payments,PAY001,"We accept Visa, Mastercard, American Express and PayPal.",Easy,Paraphrased
424,What are the requirements for promo codes?,Discounts,DIS001,Valid promotional codes can be entered during checkout before the order is completed.,Hard,Policy-focused
425,Do you have physical stores in London?,Unsupported,,The available company policy does not contain enough information to answer this question.,Hard,Unsupported
426,How does the company handle damaged items?,Returns,RET003,Customers should contact support promptly if an item arrives damaged.,Hard,Policy-focused
427,How does the product compatibility policy work?,Products,PRO003,Customers should check the compatibility information provided on the product page before purchasing.,Medium,Paraphrased
428,How does the international tracking policy work?,International Orders,INT002,International orders can be tracked using the tracking information provided after dispatch.,Medium,Paraphrased
429,Could you tell me about promo codes?,Discounts,DIS001,Valid promotional codes can be entered during checkout before the order is completed.,Easy,Policy-focused
430,I need help with warranty period. What does the policy say?,Warranty,WAR001,Products are covered by a 12-month warranty from the date of purchase.,Easy,Policy-focused
431,I have a question about standard delivery. What is the policy?,Shipping,SHP001,Standard delivery usually takes 3 to 5 business days.,Medium,Policy-focused
432,I need help with subscription renewal. What does the policy say?,Subscriptions,SUB002,Subscriptions automatically renew on the scheduled billing date unless cancelled beforehand.,Easy,Policy-focused
433,What are the rules regarding standard delivery?,Shipping,SHP001,Standard delivery usually takes 3 to 5 business days.,Medium,Direct
434,I have a question about accepted payment methods. What is the policy?,Payments,PAY001,"We accept Visa, Mastercard, American Express and PayPal.",Medium,Policy-focused
435,I have a question about payment failure. What is the policy?,Payments,PAY002,"If a payment fails, customers should check their payment details and try the transaction again.",Medium,Policy-focused
436,Do you have a loyalty points programme?,Unsupported,,The available company policy does not contain enough information to answer this question.,Hard,Unsupported
437,What information do you have about payment failure?,Payments,PAY002,"If a payment fails, customers should check their payment details and try the transaction again.",Medium,Conversational
438,Could you tell me about accepted payment methods?,Payments,PAY001,"We accept Visa, Mastercard, American Express and PayPal.",Easy,Policy-focused
439,What are the requirements for standard delivery?,Shipping,SHP001,Standard delivery usually takes 3 to 5 business days.,Hard,Policy-focused
440,I need help with standard delivery. What does the policy say?,Shipping,SHP001,Standard delivery usually takes 3 to 5 business days.,Easy,Policy-focused
441,How does the company handle discount restrictions?,Discounts,DIS002,Promotional discounts may have specific terms and conditions that should be checked before use.,Hard,Policy-focused
442,What do I need to know regarding account closure?,Account,ACC003,Customers can request account closure through customer support.,Medium,Direct
443,Could you give me more information about warranty period?,Warranty,WAR001,Products are covered by a 12-month warranty from the date of purchase.,Hard,Conversational
444,How does the order modification policy work?,Orders,ORD002,Order details cannot normally be changed after an order has been placed. Customers should contact support as soon as possible if a correction is required.,Medium,Paraphrased
445,What are the requirements for product compatibility?,Products,PRO003,Customers should check the compatibility information provided on the product page before purchasing.,Hard,Policy-focused
446,What do I need to know regarding refund payment method?,Refunds,REF002,Refunds are normally returned to the original payment method used for the purchase.,Medium,Direct
447,How does the product availability policy work?,Products,PRO001,Product availability is shown on the product page and may change depending on inventory levels.,Medium,Paraphrased
448,Can you tell me what the company policy says about international delivery?,International Orders,INT001,International delivery times vary depending on the destination and shipping service selected.,Medium,Policy-focused
449,Please explain the company's payment failure policy.,Payments,PAY002,"If a payment fails, customers should check their payment details and try the transaction again.",Hard,Paraphrased
450,What do I need to know regarding contact support?,Customer Support,SUP001,Customers can contact support through the customer support form for assistance with their account or orders.,Medium,Direct
451,Can you tell me what the company policy says about product information?,Products,PRO002,Customers can find product specifications and dimensions on the relevant product page.,Medium,Policy-focused
452,Can you tell me what the company policy says about invoice availability?,Invoices,INV001,Invoices are available through the customer's account after an order has been completed.,Medium,Policy-focused
453,What are the requirements for discount restrictions?,Discounts,DIS002,Promotional discounts may have specific terms and conditions that should be checked before use.,Hard,Policy-focused
454,What should I know about warranty claims?,Warranty,WAR002,Warranty claims can be submitted through customer support with proof of purchase.,Easy,Conversational
455,Can you tell me what the company policy says about product compatibility?,Products,PRO003,Customers should check the compatibility information provided on the product page before purchasing.,Medium,Policy-focused
456,How does the company handle refund processing time?,Refunds,REF001,Refunds are processed within 5 to 7 business days after the return is approved.,Hard,Policy-focused
457,What do I need to know regarding damaged items?,Returns,RET003,Customers should contact support promptly if an item arrives damaged.,Medium,Direct
458,Can you explain the refund payment method policy?,Refunds,REF002,Refunds are normally returned to the original payment method used for the purchase.,Easy,Paraphrased
459,How does the company handle subscription cancellation?,Subscriptions,SUB001,Customers can cancel their subscription through their account settings before the next billing date.,Hard,Policy-focused
460,I have a question about return window. What is the policy?,Returns,RET001,Items can be returned within 30 days of delivery.,Medium,Policy-focused
461,Could you give me more information about subscription renewal?,Subscriptions,SUB002,Subscriptions automatically renew on the scheduled billing date unless cancelled beforehand.,Hard,Conversational
462,Could you give me more information about order tracking?,Shipping,SHP003,Orders can be tracked using the tracking link sent to the customer's email after dispatch.,Hard,Conversational
463,Can you tell me what the company policy says about international tracking?,International Orders,INT002,International orders can be tracked using the tracking information provided after dispatch.,Medium,Policy-focused
464,What is the policy for discount restrictions?,Discounts,DIS002,Promotional discounts may have specific terms and conditions that should be checked before use.,Easy,Direct
465,Could you tell me about email address change?,Account,ACC002,Customers can request an email address change through customer support after verifying their account.,Easy,Policy-focused
466,Can you explain the damaged items policy?,Returns,RET003,Customers should contact support promptly if an item arrives damaged.,Easy,Paraphrased
467,Can I exchange an item for a different colour?,Unsupported,,The available company policy does not contain enough information to answer this question.,Hard,Unsupported
468,What are the rules regarding order modification?,Orders,ORD002,Order details cannot normally be changed after an order has been placed. Customers should contact support as soon as possible if a correction is required.,Medium,Direct
469,Can you tell me what the company policy says about payment failure?,Payments,PAY002,"If a payment fails, customers should check their payment details and try the transaction again.",Medium,Policy-focused
470,Please explain the company's express delivery policy.,Shipping,SHP002,Express delivery usually takes 1 to 2 business days after dispatch.,Hard,Paraphrased
